,index,Ebook ID,Author,Title,Credits,Summary,Language,Library of Congress Classification,Category,EBook-No.,Release Date,Most Recently Updated,Copyright Status,Downloads,Subjects
859,902,908,"Shaw, Bernard, 1856-1950",Treatise on Parents and Children,"Produced by Ron Burkey, Amy Thomte and David Widger","""A Treatise on Parents and Children"" by Bernard Shaw is a philosophical inquiry written in the late 19th century. This work explores the complex relationship between parents and children, questioning societal norms and advocating for a re-evaluation of how children are raised and treated. Shaw delves into the rights of children, the responsibilities of parents, and the implications of childhood education, making a case for recognizing children as autonomous individuals with their own needs and aspirations.  The opening of the treatise sets a provocative tone by emphasizing the cyclical nature of life and the continuous process of human development. Shaw challenges traditional views on childhood, which depict it as a mere preparatory phase for adulthood, and he argues that society often treats children as property lacking rights. He critiques the ways in which children are molded by parental expectations and societal pressures, suggesting that this often leads to the manufacture of moral and intellectual 'monsters.' Through sharp observations and rhetorical questioning, he encourages readers to consider the consequences of denying children their agency and the importance of fostering their natural inclinations rather than imposing arbitrary standards of behavior or belief. (This is an automatically generated summary.)",English,"HQ: Social sciences: The family, Marriage, Sex and Gender",Text,908,"Mar 22, 2006","Dec 13, 2012",Public domain in the USA.,179 downloads in the last 30 days.,"Essays, Parent and child"
860,903,909,"Filson, John, 1747?-1788",The Adventures of Col. Daniel BoonContaining a Narrative of the Wars of Kentucke,"Produced by John M. Krafft, and David Widger","""The Adventures of Col. Daniel Boon"" by John Filson is a historical account written in the late 18th century. The book narrates the life and adventures of Daniel Boone, focusing on his significant role in the exploration and settlement of Kentucky during a tumultuous period marked by conflicts with Native American tribes. Boone's journey is framed against the backdrop of early American frontier life, emphasizing themes of perseverance, bravery, and the quest for land and opportunity.  The narrative begins with Boone's departure from North Carolina to explore Kentucky, highlighting his encounters with native tribes, the challenges of survival in the wilderness, and his ongoing struggle to secure his family's safety amidst growing hostilities. Key events include his capture by Native Americans, his philosophical reflections on happiness and contentment in adversity, and the establishment of settlements like Boonsborough. Throughout the account, Boone recounts significant battles, the toll of violence on his family and friends, and his enduring hope for peace and prosperity in a land fraught with peril. By the end, Boone reflects on the sacrifices made for the settlement of Kentucky and his fervent desire for a future of tranquility and abundance. (This is an automatically generated summary.)",English,F396: United States local history: Old Southwest. Lower Mississippi Valley,Text,909,"Feb 5, 2006","Feb 2, 2013",Public domain in the USA.,154 downloads in the last 30 days.,"Boone, Daniel, 1734-1820, Kentucky -- History -- To 1792, Indian captivities -- Kentucky, Pioneers -- Kentucky -- Biography"
861,904,910,"London, Jack, 1876-1916",White Fang,Credits: David Price,"""White Fang"" by Jack London is a novel written during the late 19th century. This compelling narrative explores the life of a wild wolf/dog hybrid named White Fang, set against the harsh backdrop of the North American wilderness. The story delves into themes of survival, nature versus nurture, and the complexity of relationships between humans and animals. The opening chapters introduce readers to the bleak and unforgiving landscape of the Arctic, where the protagonist, amidst his struggles for survival, embodies the fierce spirit of the Wild.  The beginning of ""White Fang"" paints a vivid picture of the stark, desolate environment, focusing on two men traveling through the frozen wilderness, transporting a dead body on a sled. As they engage in dialogue about their grim circumstances and the haunting presence of wolves nearby, a sense of foreboding envelops the narrative. Tension builds as the men become increasingly aware of their precarious position, closely pursued by hungry wolves. As the men set up camp for the night, their situation grows dire, and the stage is set for the brutal realities of nature that will shape White Fang's life. This early glimpse into survival in the wild foreshadows the struggles that lie ahead for both the men and the titular character, establishing a gripping tale of instinct and survival against the forces of nature. (This is an automatically generated summary.)",English,PS: Language and Literatures: American and Canadian literature,Text,910,"May 1, 1997","Aug 4, 2024",Public domain in the USA.,2964 downloads in the last 30 days.,"Wolfdogs -- Fiction, Adventure stories, Canada, Northern -- Fiction"
862,905,911,"London, Jack, 1876-1916",Tales of the Fish Patrol,Transcribed from the 1914 William Heinemann edition by David Price,"""Tales of the Fish Patrol"" by Jack London is a collection of engaging stories written during the early 20th century. The book centers around the adventures and challenges faced by fish patrolmen tasked with enforcing the regulations on fishing in and around San Francisco Bay. It introduces a cast of colorful characters, including the young narrator who becomes a deputy patrolman, and dives into the conflicts between the patrolmen and various fishermen, particularly focusing on the Chinese shrimp-catchers and Greek fishermen.  The opening of the book sets the stage for a thrilling account of the narrator's experiences as a deputy patrolman during a raid on Chinese shrimp-catchers operating illegally. As a young and eager sailor aboard the sloop ""Reindeer"", he describes the excitement and tension of the operation, which includes capturing illegal fishing vessels and dealing with the fierce reactions of the fishermen. The narrative captures both the struggles of enforcing fish laws against defiant fisherman and the interpersonal dynamics among the patrolmen, ultimately immersing the reader in the lively drama of life on the bay. (This is an automatically generated summary.)",English,PS: Language and Literatures: American and Canadian literature,Text,911,"May 1, 1997","Aug 8, 2019",Public domain in the USA.,148 downloads in the last 30 days.,"Short stories, Immigrants -- Fiction, Fishers -- Fiction, San Francisco Bay Area (Calif.) -- Fiction"
863,906,912,"Dickens, Charles, 1812-1870",Mudfog and Other Sketches,Transcribed from the 1903 Chapman and Hall _Sketches by Boz_ edition by David Price,"""Mudfog and Other Sketches"" by Charles Dickens is a collection of satirical sketches written during the mid-19th century. The narratives take a humorous look at the peculiarities and absurdities of life in a fictional town called Mudfog, particularly focusing on its citizens and local politics. The sketches appear to critique the pretensions and follies of individuals within this quaint and damp setting.  The beginning of the book introduces readers to the town of Mudfog and the rise of its mayor, Nicholas Tulrumble, a coal-dealer turned public figure. Dickens paints a vivid picture of Mudfog's unappealing characteristics, such as its peculiar odor and tumultuous weather, while humorously depicting Tulrumble's newfound aspirations for grandeur. The narrative showcases the comical contradictions in Tulrumble's character as he navigates his role, revealing both his determination and the absurdity of his ambitions. The opening portion sets the tone for a light-hearted exploration of social commentary, emphasizing the folly of aspiration in a town rife with eccentricity. (This is an automatically generated summary.)",English,PR: Language and Literatures: English literature,Text,912,"May 1, 1997","Feb 25, 2015",Public domain in the USA.,124 downloads in the last 30 days.,England -- Social life and customs -- 19th century -- Fiction
864,907,913,"Lermontov, Mikhail Iurevich, 1814-1841",A Hero of Our Time,"Produced by Judith Boss, and David Widger","""A Hero of Our Time"" by Mikhail Iurevich Lermontov is a novel written in the early 19th century, considered a masterpiece of Russian literature. The book explores the complexities of the Byronic hero through the experiences of its protagonist, Grigori Pechorin, a disillusioned officer in the Caucasus who struggles with his inner feelings and the impact of his actions on those around him.  At the start of the novel, we are introduced to a traveler making his way through the beautiful yet treacherous landscapes of the Caucasus. This traveler recounts his journey and interactions with various individuals, including the mysterious and captivating Pechorin, who becomes central to the story. In the first chapters, we learn about Pechorin’s encounters with various characters, including his relationships with brave but naïve locals, and the exotic beauty, Bela, whom he captures. The opening sets the tone for Pechorin's complex character, hinting at his charm, ennui, and moral ambivalence, while creating an evocative backdrop of the rugged terrain that shapes these interactions and conflicts. (This is an automatically generated summary.)",English,"PG: Language and Literatures: Slavic (including Russian), Languages and Literature",Text,913,"May 1, 1997","Jan 27, 2021",Public domain in the USA.,634 downloads in the last 30 days.,"Psychological fiction, Caucasus -- Fiction, Russia -- Social life and customs -- 1533-1917 -- Fiction, Russia -- History, Military -- 1801-1917 -- Fiction"
865,908,914,"Dickens, Charles, 1812-1870",The Uncommercial Traveller,David Price,"""The Uncommercial Traveller"" by Charles Dickens is a collection of essays and travelogues written during the mid-19th century. The narrative follows the character of the Uncommercial Traveller, who embarks on various journeying explorations throughout Britain while offering keen observations on social issues, human experiences, and the intricacies of life in Victorian society. Dickens uses this character to explore themes such as poverty, class disparities, and the human condition.  The opening of the book introduces the Uncommercial Traveller himself, who presents a humorous and self-deprecating view of his existence—straddling both town and country, he describes himself as a nomad without an affinity for commercial agents or hospitality. In the first chapter, he sets the tone for his travels by highlighting the variety of experiences he has encountered, from quiet beaches to bustling markets. The second chapter shifts to a poignant reflection on the shipwreck of the Royal Charter, revealing the tragedy and human lasting impact on the lives lost and the efforts made by a clergyman to provide dignity in death. This sets up a framework for Dickens’s later explorations of society's hardships and poignant moments found amidst everyday life. (This is an automatically generated summary.)",English,PR: Language and Literatures: English literature,Text,914,"May 1, 1997","Jun 8, 2021",Public domain in the USA.,549 downloads in the last 30 days.,"Great Britain -- Social conditions -- 19th century, London (England) -- Description and travel"
866,909,915,"Hazeltine, Alice Isabel, 1878-1959",Library Work with Children,,"""Library Work with Children"" by Alice Isabel Hazeltine is a collection of historical essays and addresses concerning the development and principles of public library services aimed at children, curated and annotated in the early 20th century. It reflects a period of significant change in library practice, primarily in the late 19th to early 20th centuries, highlighting the growing recognition of children's literature and the role of libraries in fostering a love of reading among youth. The book serves as an insightful exploration of the ideals and methodologies surrounding library work with children.  The beginning of ""Library Work with Children"" presents a preface by Hazeltine, establishing the book's purpose as a historical overview rather than a comprehensive treatise on children's library work. It emphasizes the slow evolution of library practices concerning children over forty years, with specific reference to individuals like Caroline Hewins, who were pivotal in this development. These introductory discussions signal a focus on various aspects of children's library services, including the significance of creating welcoming environments for young patrons and the need for librarians to engage personally with children to cultivate effective reading habits. Hazeltine's work lays the groundwork for understanding how libraries can nurture young minds through literature, setting the stage for the more detailed analyses and historical accounts that follow in the collection. (This is an automatically generated summary.)",English,"Z: Bibliography, Library science",Text,915,"May 1, 1997","Apr 2, 2015",Public domain in the USA.,67 downloads in the last 30 days.,Children's libraries -- United States
867,910,916,"Dickens, Charles, 1812-1870",Sketches of Young Couples,Transcribed from the 1903 Chapman and Hall _Sketches by Boz_ edition by David Price,"""Sketches of Young Couples"" by Charles Dickens is a collection of essays that likely reflects the social and romantic mores of the mid-19th century. The sketches accentuate various types of couples, each representing different facets of love, partnership, and society’s expectations, ranging from the whimsical to the critical. Through vivid descriptions and engaging narratives, Dickens portrays the dynamics of relationships, highlighting both the charm and absurdity found within them.  The opening of this work introduces a delightful scenario surrounding a marriage, specifically focusing on the anticipation of young Mr. Harvey and Miss Emma Fielding's wedding. The lush details capture the frenzied excitement that ripples through the household, from the bustling maid's daydreams to the tearful farewells of Emma's family. These moments are framed with humor and a touch of nostalgia, emphasizing the innocence and hopes wrapped up in such unions. As the events unfold, we see interactions between different characters, illustrating themes of youthful romanticism and the charm of domestic life, setting the stage for the exploration of various couple dynamics that Dickens will delve into throughout the collection. (This is an automatically generated summary.)",English,PR: Language and Literatures: English literature,Text,916,"May 1, 1997","Apr 11, 2015",Public domain in the USA.,94 downloads in the last 30 days.,"England -- Social life and customs -- 19th century, Couples -- England"
868,911,917,"Dickens, Charles, 1812-1870",Barnaby Rudge: A Tale of the Riots of 'Eighty,Produced by Donald Lainson; David Widger,"""Barnaby Rudge: A Tale of the Riots of 'Eighty"" by Charles Dickens is a historical novel written in the late 19th century. The narrative centers around the tumultuous events of the Gordon Riots, which reflect the intense social and political strife of the era. The story introduces us to Barnaby Rudge, a simple yet endearing young man who becomes entangled in the chaos of the riots, alongside various compelling characters, including John Willet, the obstinate innkeeper, and Mr. Geoffrey Haredale, whose family ties add intrigue to the plot.  The opening of the novel sets the stage by describing the Maypole Inn, where much of the initial action unfolds. As the stormy night rages outside, John Willet, the innkeeper, and his guests engage in conversation, revealing their characters and hinting at the tension building in London. A mysterious stranger arrives, stirring curiosity among the patrons, and the narrative quickly introduces the themes of love, ambition, and social hierarchy through the discussions about young Joe Willet and his romantic interests. As the scene unfolds, we are drawn into the world of late 18th-century England, teetering on the brink of upheaval, with Barnaby Rudge poised to play a central role in the coming events. (This is an automatically generated summary.)",English,PR: Language and Literatures: English literature,Text,917,"Apr 27, 2006","Jan 27, 2021",Public domain in the USA.,668 downloads in the last 30 days.,"Historical fiction, Gordon Riots, 1780 -- Fiction, London (England) -- History -- 18th century -- Fiction, Locksmiths -- Fiction"
869,912,918,"Dickens, Charles, 1812-1870",Sketches of Young Gentlemen,Transcribed from the 1903 Chapman and Hall _Sketches by Boz_ edition by David Price,"""Sketches of Young Gentlemen"" by Charles Dickens is a satirical collection of character sketches composed in the mid-19th century. The work humorously examines various types of young men, portraying their idiosyncrasies and social behaviors in a manner that critiques societal norms and expectations, particularly as they relate to women. At the heart of these sketches are different archetypes like the bashful young man, the domesticated fellow, and the military dandy, each representing a facet of young gentlemanly conduct that reflects the complexities of social interactions during Dickens's time.  The opening of this work introduces several young gentlemen categorized by their distinctive traits. For instance, it highlights a bashful young gentleman who struggles with social engagements and embodies the awkwardness of youth, described through a humorous dinner party mishap. The narrative progresses to include caricatures of those who are outgoing, theatrical, or politically engaged, portraying their often ludicrous antics and meaningful obsessions with society's fleeting trends. Through these light-hearted observations, Dickens offers a critique of their follies while entertaining his audience with witty anecdotes and engaging characterizations. (This is an automatically generated summary.)",English,PR: Language and Literatures: English literature,Text,918,"May 1, 1997","Apr 14, 2015",Public domain in the USA.,84 downloads in the last 30 days.,"England -- Social life and customs -- 19th century, Young men -- England"
870,913,919,"Spinoza, Benedictus de, 1632-1677",Ethics — Part 1,Produced by an anonymous Project Gutenberg volunteer,"""Ethics — Part 1 by Benedictus de Spinoza"" is a philosophical treatise written in the 17th century, specifically during the early modern period. The book is a foundational work in the field of Western philosophy, particularly known for its exploration of metaphysics and ethics. Spinoza examines the nature of God, existence, and reality, offering a rational understanding of the universe that intertwines his moral philosophy with his metaphysical views.  In ""Part 1: Concerning God,"" Spinoza lays out his definitions, axioms, and propositions regarding the nature of God and substance. He argues that God is an absolutely infinite being whose essence necessarily includes existence. He posits that there cannot be two substances with the same attributes and that everything that exists does so through God, asserting that all things depend on the divine for their essence and existence. Spinoza further contends that God's will is not free in the human sense but is bound by the necessity of his nature, driving home the idea that everything in the universe unfolds according to divine laws rather than random chance. This work challenges traditional views of God and existence, positioning Spinoza as a pivotal figure in the development of philosophical thought. (This is an automatically generated summary.)",English,"B: Philosophy, Psychology, Religion",Text,919,"May 1, 1997","Apr 14, 2013",Public domain in the USA.,106 downloads in the last 30 days.,Ethics
871,914,920,"Spinoza, Benedictus de, 1632-1677",Ethics — Part 2,Produced by an anonymous Project Gutenberg volunteer,"""Ethics — Part 2"" by Benedictus de Spinoza is a philosophical treatise written during the 17th century that delves into metaphysical inquiries regarding the nature and origin of the mind. This part of the work builds upon the foundational concepts established in the first section, particularly the essence of God and the interrelation of thought and extension. The text methodically explores the nature of human thought in relation to divine intellect, emphasizing the significance of understanding the mind's essence and its relationship to the body.  The opening of ""Ethics — Part 2"" introduces a series of definitions and propositions that reflect Spinoza's geometric method of demonstrating philosophical arguments. It begins with a preface that underscores the necessity of examining concepts that stem from God's essence. Spinoza defines key terms such as 'body', 'idea', and 'adequate idea', establishing a framework to assert that thought is an attribute of God and that the human mind, as a mode of thought, perceives reality through the ideas shaped by its interaction with the body. The text suggests that the human mind is inherently connected to the body, perceiving and understanding through the modifications that arise from their interaction, setting the stage for deeper explorations of consciousness, knowledge, and perception in subsequent propositions. (This is an automatically generated summary.)",English,"B: Philosophy, Psychology, Religion",Text,920,"May 1, 1997","Apr 14, 2013",Public domain in the USA.,63 downloads in the last 30 days.,Ethics
872,915,921,"Wilde, Oscar, 1854-1900",De Profundis,Transcribed from the 1913 Methuen & Co. edition by David Price. Note that later editions of De Profundis contained more material. The most complete editions are still in copyright in the U.S.A,"""De Profundis"" by Oscar Wilde is a poignant letter written during the early 1900s, specifically in the late Victorian era. This work is a deeply introspective reflection on suffering, love, and redemption, crafted in the form of a philosophical essay. Wilde penned this powerful piece while imprisoned, as he contemplates the nature of his own pain and the meaning of existence in relation to his experiences of disgrace and imprisonment.  In ""De Profundis,"" Wilde examines his own descent from fame and success into the depths of despair and incarceration. He grapples with themes of guilt, the loss of love—specifically, his relationship with Lord Alfred Douglas—and the resulting impact on his identity. Through his reflections, he delineates a journey from a life of hedonistic pleasures to one enriched with humility and compassion, where he learns to appreciate the value of suffering. Ultimately, Wilde posits that true beauty and meaning can be derived from sorrow, and he arrives at a profound understanding of love and its power to redeem, marking a transformation from despair to a hopeful embrace of the future. This introspective narrative serves as a testament to Wilde's resilience and his belief in the beauty of the human experience, even amidst profound suffering. (This is an automatically generated summary.)",English,PR: Language and Literatures: English literature,Text,921,"May 1, 1997","Jun 11, 2013",Public domain in the USA.,3485 downloads in the last 30 days.,"Wilde, Oscar, 1854-1900, Suffering, Grief, Imprisonment"
873,916,922,"Dickens, Charles, 1812-1870",Sunday Under Three Heads,"Transcribed from the 1905 Chapman & Hall edition (_The Works of Charles Dickens_, volume 28) by David Price","""Sunday Under Three Heads"" by Charles Dickens is a social commentary published in the early Victorian period. This work is a satirical essay examining the societal attitudes toward Sunday leisure activities among the lower classes in England, challenging the moralistic views of the time regarding rest and recreation. Dickens argues that the efforts to impose strict Sabbath laws on the working class stem from a misunderstanding of their need for relaxation and enjoyment after a week of hard labor.  In this book, Dickens presents a vivid depiction of Sunday life in London, contrasting the innocent joy of the working class seeking leisure with the hypocritical piety of the upper classes and the fanatical attitudes of certain religious figures. Through three distinct sections, he highlights the stark differences between the joy experienced by the poorer classes on their day off and the austere, often joyless atmosphere cultivated by the law and societal expectations. Dickens emphasizes the importance of allowing all individuals the right to enjoy their free time without unnecessary moral judgment, arguing for a more compassionate understanding of human nature and the need for joy in life. His advocacy for the acceptance of Sunday leisure serves as a criticism of the rigid and often oppressive nature of contemporary societal norms. (This is an automatically generated summary.)",English,"BV: Philosophy, Psychology, Religion: Christianity: Practical theology, Worship",Text,922,"May 1, 1997","Jan 4, 2015",Public domain in the USA.,115 downloads in the last 30 days.,"England -- Social life and customs -- 19th century, Sunday"
874,917,923,"James, William Dobein, 1764-1830",A Sketch of the Life of Brig. Gen. Francis Marion and a History of His Brigade,"Produced by Alan R. Light, Gary Johnson, and Carolyn Lancaster","""A Sketch of the Life of Brig. Gen. Francis Marion and a History of His Brigade"" by William Dobein James is a historical account written in the early 19th century. The text focuses on the life of Brigadier General Francis Marion, an important figure in the American Revolutionary War, particularly noted for his guerrilla warfare tactics in South Carolina against British forces and their loyalist supporters.   The opening of the book sets the stage for an exploration of Marion's early life, his ancestry as a French Protestant, and the challenges faced during the Revolutionary War. The author reflects on his personal experiences as a member of Marion's militia, sharing how he transitioned from a schoolboy to a soldier at a young age amidst the turmoil of war. The subsequent chapters promise to delve into Marion's strategic exploits, character, and the formation of his brigade, providing a detailed narrative of events that are often overlooked in conventional histories of the war. (This is an automatically generated summary.)",English,E201: History: America: Revolution (1775-1783),Text,923,"May 1, 1997","Mar 21, 2013",Public domain in the USA.,108 downloads in the last 30 days.,"Marion, Francis, 1732-1795, Generals -- United States -- Biography, South Carolina -- Militia -- Biography, United States. Continental Army -- Biography"
875,918,924,"Dickens, Charles, 1812-1870",To Be Read at Dusk,"Transcribed from the 1905 Chapman & Hall edition (_The Works of Charles Dickens_, volume 28) by David Price","""To Be Read at Dusk"" by Charles Dickens is a haunting short story written during the late 19th century, a time characterized by the Victorian literary tradition. The narrative falls within the gothic genre, as it weaves themes of mystery, the supernatural, and psychological tension, exploring the inexplicable and the nature of belief in ghosts. The story emphasizes the engagement of different characters with their fears and uncertainties, particularly revolving around strange occurrences and their interpretations.  The plot revolves around a group of couriers gathered outside a convent in the Swiss Alps, discussing eerie experiences and encounters with the supernatural. As they converse, one courier recounts the tale of a newly married English lady who becomes haunted by a dream of a mysterious man’s face, which deeply unsettles her even as she settles into her new life. The arrival of the enigmatic Signor Dellombra—a man strikingly similar to the figure from her dreams—exacerbates her fears, leading to a tragic conclusion as she disappears under his influence. Throughout the story, Dickens plays with the interplay of reality and the supernatural, leaving the reader to question the boundaries between the two. (This is an automatically generated summary.)",English,PR: Language and Literatures: English literature,Text,924,"May 1, 1997","Jan 11, 2015",Public domain in the USA.,325 downloads in the last 30 days.,"Fiction, Short stories, Ghost stories"
876,919,925,United States. Presidents,United States Presidents' Inaugural Speeches: From Washington to George W. Bush,"Produced by Several Project Gutenberg Volunteers, and David Widger","""United States Presidents' Inaugural Speeches: From Washington to George W. Bush"" is a historical collection that presents the inaugural addresses delivered by every U.S. president from George Washington to George W. Bush, spanning from the late 18th century to the early 21st century. This compilation likely aims to provide insight into the evolving political landscape and key themes addressed by presidents throughout American history.  The opening of this compilation introduces the first inaugural address by George Washington, delivered in New York City in 1789. Washington reflects on the weight of the responsibility he has assumed and acknowledges the anxiety that accompanies the presidency. He expresses deep gratitude to his fellow citizens and emphasizes the need for divine guidance in ensuring the new government serves the liberties and happiness of the people. This section sets a tone of solemnity and reflection, providing readers with an understanding of the foundational sentiments that have permeated the office of the presidency from its very inception. (This is an automatically generated summary.)",English,JK: Political science: Political inst. and pub. Admin.: United States,Text,925,"May 1, 1997","Mar 21, 2013",Public domain in the USA.,546 downloads in the last 30 days.,Presidents -- United States -- Inaugural addresses
877,920,926,"Miller, Gustavus Hindman, 1857-1929","Ten Thousand Dreams Interpreted; Or, What's in a DreamA Scientific and Practical Exposition",,"""Ten Thousand Dreams Interpreted; Or, What's in a Dream"" by Gustavus Hindman Miller is a comprehensive guide on dream interpretation and the significance of dreams, likely written in the early 20th century. The work delves into the historical, philosophical, and psychological aspects of dreaming, asserting that dreams provide insights into the future and reflect the dreamer's subconscious, emotions, and spiritual state.  The opening of the text discusses various perspectives on dreams throughout history, including references to notable figures such as Plato and Shakespeare, who believed in the prophetic nature of dreams. Miller explores the distinction between different types of dreams—subjective, physical, and spiritual—while emphasizing the importance of inner consciousness and intuition in dream interpretation. He highlights numerous historical accounts and personal anecdotes that illustrate how dreams can reveal significant truths or warnings, setting the groundwork for the reader to understand their own dreams and how to apply the interpretations presented throughout the book. (This is an automatically generated summary.)",English,"BF: Philosophy, Psychology, Religion: Psychology, Philosophy, Psychoanalysis",Text,926,"May 1, 1997","Apr 2, 2015",Public domain in the USA.,374 downloads in the last 30 days.,"Dreams -- Dictionaries, Dream interpretation, Dreams"
878,921,927,"Dickens, Charles, 1812-1870",The Lamplighter,"Transcribed from the 1905 Chapman & Hall edition (_The Works of Charles Dickens_, volume 28) by David Price","""The Lamplighter"" by Charles Dickens is a humorous novella written during the Victorian era. The story centers on the character Tom Grig, a jovial lamplighter whose life takes an unexpected turn involving celestial predictions and improbable romantic entanglements. With Dickens' characteristic wit and social commentary, the book explores themes of class, fate, ambition, and the balance of good-natured folly with the harsh realities of life.  The narrative unfolds as Tom Grig is mistaken for a man of noble lineage by an eccentric old gentleman, who insists that Tom is fated to marry his niece due to a celestial prediction. As the story progresses, humorous misunderstandings and chaos ensue, particularly involving the old gentleman's other niece and a dismal boy named Galileo. The plot thickens with the introduction of a philosopher's stone that promises wealth but ultimately leads to a comically disastrous explosion and an unexpected twist in the tale of love and marriage. In a final twist of fate, Tom discovers that he is not just a lamplighter but a central figure in a web of entangled relationships, making it a delightful exploration of destiny intermingled with humor and absurdity. (This is an automatically generated summary.)",English,PR: Language and Literatures: English literature,Text,927,"May 1, 1997","Jan 11, 2015",Public domain in the USA.,97 downloads in the last 30 days.,"England -- Social life and customs -- 19th century -- Fiction, Humorous stories"
879,923,929,"Sirius, R. U., 1952-",The Real Cyberpunk Fakebook,,"""The Real Cyberpunk Fakebook"" by St. Jude, R.U. Sirius, and Bart Nagel is a satirical guidebook written in the mid-1990s, a time of burgeoning interest in digital culture and technology. This book explores the concept of cyberpunk, a subgenre of science fiction that blends advanced technology with societal collapse, and serves as both a humorous manifesto and a lifestyle guide for aspiring cyberpunks and tech enthusiasts. Its unique approach to cyber culture and identity entertains while also critiquing the superficiality often associated with being ""hip.""  The book is structured in a manner reminiscent of an ironic how-to manual, filled with tongue-in-cheek advice on embodying the cyberpunk lifestyle. It includes chapters on achieving a cyberpunk appearance—essentially a uniform of black leather and mirrorshades—as well as insights into specific subcultures within the cyberpunk community, such as goths, hackers, and technopagans. The authors provide a lexicon of playful jargon and colloquialisms associated with the cyber world, elaborate on the must-know films and literature, and even present a humorous take on the art of hacking. Overall, ""The Real Cyberpunk Fakebook"" presents a vibrant snapshot of a countercultural movement, blending humor and commentary in a way that both informs and entertains its readers. (This is an automatically generated summary.)",English,QA: Science: Mathematics,Text,929,"Jun 1, 1997","Apr 14, 2013",Copyrighted. Read the copyright notice inside this book for details.,202 downloads in the last 30 days.,"Computer hackers, Computers and civilization"
880,924,930,"Waters, W. G., Mrs.","The Cook's DecameronA Study in Taste, Containing over Two Hundred Recipes for Italian Dishes","Produced by Metra Christofferson, and David Widger","""The Cook's Decameron"" by Mrs. W. G. Waters is a culinary guide written during the late 19th century, intertwining elements of fiction with practical cooking instruction. The text presents itself as a narrative about the Marchesa di Sant'Andrea, a character who finds herself navigating the trials and tribulations of English dining culture while advocating for the appreciation of genuine Italian cuisine. The book offers a plethora of over two hundred Italian recipes aimed at teaching English housewives how to incorporate authentic Italian culinary techniques into their cooking, particularly to elevate everyday meals without extravagant expenses.  At the start of the narrative, the Marchesa reviews a series of letters notifying her that several dinner engagements have been canceled due to the misdeeds of their cooks, revealing a humorous contrast between the culinary ambition of her social circle and the reality they face. Through this comedy of errors, the Marchesa expresses her frustration at the British culinary scene, leading to a suggestion that she teach her friends how to cook for themselves, thereby establishing a ""school of cookery."" This opening sets the stage for her mission to unlock the secrets of Italian cooking, while also introducing the reader to a lively cast of characters and their engaging conversations about food, society, and culture. (This is an automatically generated summary.)",English,TX: Technology: Home economics,Text,930,"Jun 1, 1997","Feb 8, 2013",Public domain in the USA.,239 downloads in the last 30 days.,"Cooking, Italian"
881,925,931,"Gilbert, W. S. (William Schwenck), 1836-1911",The Bab Ballads,Transcribed from the 1920 Macmillan and Co. edition of “The Bab Ballads” (also from “Fifty Bab Ballads” 1884 George Routledge and Sons edition) by David Price,"""The Bab Ballads"" by W. S. Gilbert is a collection of humorous verse and light poetry written during the late 19th century. The work features a variety of whimsical characters and scenarios, often satirizing social norms, relationships, and various professions through clever and entertaining rhymes.  The opening of the collection introduces a series of amusing poems that set the tone for the whimsical nature of the verses that follow. The first poem, ""Captain Reece,"" depicts the kind-hearted captain of a ship whose playful interactions with his crew lead to humorous proposals about marrying off his family members to the sailors. Following this, ""The Rival Curates"" introduces two clergymen who compete for the title of the mildest curate, employing a light and comedic clash of character traits. Overall, the beginning portion of the collection establishes Gilbert's sharp wit and ability to weave amusing narratives, inviting readers into a delightful world of satirical poetry. (This is an automatically generated summary.)",English,PR: Language and Literatures: English literature,Text,931,"Jun 1, 1997","Aug 11, 2019",Public domain in the USA.,107 downloads in the last 30 days.,"English wit and humor, Humorous poetry, English"
882,926,932,"Poe, Edgar Allan, 1809-1849",The Fall of the House of Usher,Produced by Levent Kurnaz and Jose Menendez,"""The Fall of the House of Usher"" by Edgar Allan Poe is a gothic short story written during the early 19th century. This narrative provides a deep exploration of themes such as mental illness, family decay, and the interplay between the human psyche and physical surroundings. The story revolves around an unnamed narrator who visits his childhood friend, Roderick Usher, in the Usher family mansion, a place steeped in gloom and mystery.  As the story unfolds, Roderick reveals his deteriorating mental state and the grave illness affecting his twin sister, Madeline. The tension escalates with Roderick's increasing paranoia and the eerie atmosphere of the decaying mansion, which seems to embody his family's tragic history. After Madeline's death, Roderick's mind unravels as he is haunted by visions and sounds he believes are connected to her return. The climax reveals a shocking twist as Madeline emerges from her coffin, leading to Roderick's fatal collapse and the ultimate destruction of the Usher estate. This haunting tale vividly illustrates the fragility of sanity and the overpowering impact of familial and environmental influences. (This is an automatically generated summary.)",English,PS: Language and Literatures: American and Canadian literature,Text,932,"Jun 1, 1997","Jan 1, 2021",Public domain in the USA.,3229 downloads in the last 30 days.,"Short stories, Horror tales, Gothic fiction"
